Customer_ID,Customer_Name,Age,Gender,Location,Order_ID,Order_Date,Product_Category,Product_Name,Purchase_Amount ($),Payment_Method,Recency (Days),Frequency (Orders),Monetary (Total Spend $)
C0001,Customer 1,56,Female,Miami,O1001,2023-01-01,Beauty,Lipstick,503,PayPal,139,26,13078
C0002,Customer 2,46,Male,Chicago,O1002,2023-01-02,Fashion,Handbag,1233,PayPal,205,19,23427
C0003,Customer 3,32,Female,Miami,O1003,2023-01-03,Electronics,Handbag,1288,PayPal,73,26,33488
C0004,Customer 4,60,Male,Houston,O1004,2023-01-04,Home Decor,Table Lamp,1212,Debit Card,4,37,44844
C0005,Customer 5,25,Female,New York,O1005,2023-01-05,Home Decor,Handbag,556,Net Banking,76,27,15012
C0006,Customer 6,38,Male,Miami,O1006,2023-01-06,Beauty,Table Lamp,603,Net Banking,329,30,18090
C0007,Customer 7,56,Male,Miami,O1007,2023-01-07,Home Decor,Running Shoes,398,Net Banking,77,30,11940
C0008,Customer 8,36,Female,New York,O1008,2023-01-08,Fashion,Lipstick,1431,Credit Card,304,3,4293
C0009,Customer 9,40,Male,Chicago,O1009,2023-01-09,Electronics,Smartphone,1765,PayPal,256,43,75895
C0010,Customer 10,28,Female,New York,O1010,2023-01-10,Fashion,Lipstick,167,PayPal,102,7,1169
C0011,Customer 11,28,Male,Miami,O1011,2023-01-11,Sports,Table Lamp,1037,Debit Card,106,49,50813
C0012,Customer 12,41,Female,Chicago,O1012,2023-01-12,Beauty,Table Lamp,176,Debit Card,333,9,1584
C0013,Customer 13,53,Female,Chicago,O1013,2023-01-13,Home Decor,Lipstick,1501,Credit Card,39,41,61541
C0014,Customer 14,57,Female,New York,O1014,2023-01-14,Sports,Table Lamp,969,Credit Card,314,42,40698
C0015,Customer 15,41,Female,Miami,O1015,2023-01-15,Home Decor,Handbag,418,Net Banking,275,13,5434
C0016,Customer 16,20,Male,Houston,O1016,2023-01-16,Electronics,Handbag,1445,Debit Card,88,15,21675
C0017,Customer 17,39,Male,Miami,O1017,2023-01-17,Electronics,Table Lamp,1237,PayPal,211,5,6185
C0018,Customer 18,19,Female,Los Angeles,O1018,2023-01-18,Electronics,Table Lamp,203,Net Banking,77,29,5887
C0019,Customer 19,41,Female,Houston,O1019,2023-01-19,Home Decor,Handbag,244,PayPal,77,35,8540
C0020,Customer 20,61,Female,Chicago,O1020,2023-01-20,Sports,Table Lamp,727,Net Banking,28,27,19629
C0021,Customer 21,47,Male,Houston,O1021,2023-01-21,Electronics,Table Lamp,1183,PayPal,245,27,31941
C0022,Customer 22,55,Male,Chicago,O1022,2023-01-22,Sports,Lipstick,1192,Credit Card,66,8,9536
C0023,Customer 23,19,Male,Chicago,O1023,2023-01-23,Home Decor,Smartphone,1312,Net Banking,266,32,41984
C0024,Customer 24,38,Male,Houston,O1024,2023-01-24,Sports,Handbag,825,PayPal,205,20,16500
C0025,Customer 25,50,Female,Chicago,O1025,2023-01-25,Home Decor,Lipstick,413,PayPal,58,10,4130
C0026,Customer 26,29,Female,Chicago,O1026,2023-01-26,Home Decor,Smartphone,902,Debit Card,201,13,11726
C0027,Customer 27,39,Female,Los Angeles,O1027,2023-01-27,Beauty,Table Lamp,687,Net Banking,225,29,19923
C0028,Customer 28,61,Male,Miami,O1028,2023-01-28,Home Decor,Table Lamp,1344,PayPal,142,35,47040
C0029,Customer 29,42,Male,Miami,O1029,2023-01-29,Home Decor,Lipstick,77,Debit Card,84,8,616
C0030,Customer 30,44,Male,Los Angeles,O1030,2023-01-30,Fashion,Table Lamp,1496,PayPal,143,29,43384
C0031,Customer 31,59,Female,Houston,O1031,2023-01-31,Electronics,Running Shoes,97,Net Banking,352,31,3007
C0032,Customer 32,45,Female,New York,O1032,2023-02-01,Beauty,Lipstick,226,Credit Card,33,41,9266
C0033,Customer 33,33,Male,New York,O1033,2023-02-02,Beauty,Smartphone,10,Net Banking,152,30,300
C0034,Customer 34,32,Female,New York,O1034,2023-02-03,Beauty,Lipstick,1168,Net Banking,158,22,25696
C0035,Customer 35,64,Male,Los Angeles,O1035,2023-02-04,Fashion,Handbag,1730,PayPal,141,21,36330
C0036,Customer 36,61,Male,Los Angeles,O1036,2023-02-05,Home Decor,Lipstick,1384,PayPal,251,12,16608
C0037,Customer 37,20,Female,Chicago,O1037,2023-02-06,Electronics,Table Lamp,149,Net Banking,303,11,1639
C0038,Customer 38,54,Male,New York,O1038,2023-02-07,Sports,Table Lamp,627,Debit Card,112,2,1254
C0039,Customer 39,24,Female,Houston,O1039,2023-02-08,Home Decor,Running Shoes,142,Debit Card,144,41,5822
C0040,Customer 40,38,Male,Houston,O1040,2023-02-09,Fashion,Running Shoes,1653,Debit Card,209,2,3306
C0041,Customer 41,26,Female,New York,O1041,2023-02-10,Home Decor,Running Shoes,187,PayPal,224,34,6358
C0042,Customer 42,56,Female,New York,O1042,2023-02-11,Home Decor,Smartphone,819,PayPal,43,3,2457
C0043,Customer 43,35,Female,New York,O1043,2023-02-12,Fashion,Running Shoes,1391,Net Banking,264,16,22256
C0044,Customer 44,21,Male,Los Angeles,O1044,2023-02-13,Beauty,Smartphone,389,Credit Card,244,4,1556
C0045,Customer 45,42,Male,Los Angeles,O1045,2023-02-14,Beauty,Running Shoes,917,PayPal,3,23,21091
C0046,Customer 46,31,Female,Los Angeles,O1046,2023-02-15,Electronics,Smartphone,1904,Net Banking,125,20,38080
C0047,Customer 47,26,Female,Miami,O1047,2023-02-16,Electronics,Lipstick,667,Net Banking,268,25,16675
C0048,Customer 48,43,Male,Houston,O1048,2023-02-17,Beauty,Lipstick,459,Credit Card,84,30,13770
C0049,Customer 49,19,Male,Houston,O1049,2023-02-18,Sports,Table Lamp,595,Debit Card,16,18,10710
C0050,Customer 50,37,Male,Chicago,O1050,2023-02-19,Home Decor,Smartphone,472,Net Banking,334,42,19824
C0051,Customer 51,45,Female,Los Angeles,O1051,2023-02-20,Sports,Handbag,999,Net Banking,59,11,10989
C0052,Customer 52,64,Male,Miami,O1052,2023-02-21,Home Decor,Table Lamp,1141,Net Banking,177,29,33089
C0053,Customer 53,24,Male,Miami,O1053,2023-02-22,Beauty,Lipstick,131,Debit Card,63,17,2227
C0054,Customer 54,61,Female,Houston,O1054,2023-02-23,Electronics,Smartphone,26,Debit Card,49,26,676
C0055,Customer 55,25,Male,Los Angeles,O1055,2023-02-24,Electronics,Running Shoes,1229,Credit Card,307,23,28267
C0056,Customer 56,64,Male,Chicago,O1056,2023-02-25,Sports,Handbag,336,PayPal,246,48,16128
C0057,Customer 57,52,Male,Los Angeles,O1057,2023-02-26,Electronics,Lipstick,327,Debit Card,289,20,6540
C0058,Customer 58,31,Female,New York,O1058,2023-02-27,Beauty,Table Lamp,818,PayPal,286,45,36810
C0059,Customer 59,34,Female,Los Angeles,O1059,2023-02-28,Sports,Smartphone,1512,PayPal,332,2,3024
C0060,Customer 60,53,Female,New York,O1060,2023-03-01,Home Decor,Handbag,1285,Debit Card,15,24,30840
C0061,Customer 61,57,Female,New York,O1061,2023-03-02,Electronics,Smartphone,512,Net Banking,338,31,15872
C0062,Customer 62,21,Female,Chicago,O1062,2023-03-03,Fashion,Running Shoes,128,Credit Card,255,27,3456
C0063,Customer 63,19,Female,Houston,O1063,2023-03-04,Electronics,Table Lamp,1707,PayPal,92,2,3414
C0064,Customer 64,23,Female,Los Angeles,O1064,2023-03-05,Home Decor,Smartphone,719,Net Banking,279,14,10066
C0065,Customer 65,59,Male,New York,O1065,2023-03-06,Sports,Lipstick,1531,Debit Card,206,4,6124
C0066,Customer 66,21,Male,Los Angeles,O1066,2023-03-07,Home Decor,Table Lamp,1519,PayPal,94,49,74431
C0067,Customer 67,46,Female,Houston,O1067,2023-03-08,Fashion,Lipstick,54,PayPal,225,13,702
C0068,Customer 68,35,Male,Houston,O1068,2023-03-09,Beauty,Smartphone,323,PayPal,301,36,11628
C0069,Customer 69,43,Male,Miami,O1069,2023-03-10,Electronics,Table Lamp,1212,Net Banking,318,35,42420
